a52dec 0.8.0-2
spotifyd 0.3.5-1
sqlite 3.42.0-1
sratom 0.6.14-1
srt 1.5.1-3
starship 1.15.0-1
startup-notification 0.12-8
stow 2.3.1-3
sudo 1.9.13.p3-1
sway 1:1.8.1-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock-blur-bin 0.3.1-1
swaylock-effects-git r416.a7691b8-1
swaylock-fancy-git r220.265fbfb-1
syndication 5.107.0-1
syntax-highlighting 5.107.0-1
systemd 253.5-2
systemd-libs 253.5-2
systemd-sysvcompat 253.5-2
systemsettings 5.27.6-1
taglib 1.13-1
talloc 2.4.0-3
tar 1.34-2
tdb 1.4.8-2
tevent 1:0.14.1-2
texinfo 7.0.3-1
threadweaver 5.107.0-1
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
timeshift 23.06.2-1
tinycompress 1.2.8-2
tmux 3.3_a-7
tpm2-tss 4.0.1-1
tracker3 3.5.3-1
tree 2.1.0-1
tree-sitter 0.20.8-3
tslib 1.22-1
ttf-hack 3.003-6
ttf-liberation 2.1.5-1
ttf-noto-nerd 3.0.2-1
tzdata 2023c-2
uboot-asahi 2023.04.asahi2-1
udisks2 2.9.4-4
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.0-4
usbmuxd 1.1.1-3
util-linux 2.39.1-1
util-linux-libs 2.39.1-1
v4l-utils 1.24.1-2
vde2 2.3.3-3
vi 1:070224-6
vid.stab 1.1.1-1
vim 9.0.1628-1
vim-runtime 9.0.1628-1
vlc 3.0.18-11
volume_key 0.3.12-8
vte-common 0.72.2-1
vte3 0.72.2-1
vulkan-headers 1:1.3.255-1
vulkan-icd-loader 1.3.255-1
vulkan-validation-layers 1.3.250.0-2
wasi-compiler-rt 13.0.1-1
wasi-libc 0+222+ad51334-2
wasi-libc++ 13.0.1-1
wasi-libc++abi 13.0.1-1
wayland 1.22.0-1
wayland-protocols 1.31-1
webkit2gtk-4.1 2.40.2-1
webp-pixbuf-loader 0.2.4-1
webrtc-audio-processing 0.3.1-3.1
wget 1.21.4-1
which 2.21-6
wireplumber 0.4.14-1
wl-clipboard 1:2.1.0-3
wlogout 1.1.1-3
wlroots 0.16.2-1
woff2 1.0.2-4
wolfssl 5.6.3-1
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.6.1-1
xcb-imdkit 1.0.5-1
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-hyprland 0.4.0-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.3.0-1
xfconf 4.18.1-1
xkeyboard-config-asahi 2.35.1_3-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xhost 1.0.9-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xmessage 1.0.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.1.2-1
xorgproto 2023.2-1
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.3-1
zeromq 4.3.4-4
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zsh 5.9-3
zstd 1.5.5-1
zxing-cpp 2.0.0-2
